# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-11.202	-36.526	-20.945
-24.900	-10.956	-34.743	-20.551
-24.800	-10.711	-33.215	-20.156
-24.700	-10.476	-31.792	-19.805
-24.600	-10.244	-30.449	-19.461
-24.500	-10.016	-29.250	-19.117
-24.400	-9.796	-28.149	-18.797
-24.300	-9.576	-27.107	-18.493
-24.200	-9.366	-26.205	-18.190
-24.100	-9.157	-25.324	-17.891
-24.000	-8.952	-24.540	-17.624
-23.900	-8.754	-23.769	-17.356
-23.800	-8.556	-23.065	-17.089
-23.700	-8.366	-22.381	-16.833
-23.600	-8.178	-21.796	-16.589
-23.500	-7.992	-21.211	-16.346
-23.400	-7.813	-20.696	-16.102
-23.300	-7.634	-20.183	-15.877
-23.200	-7.461	-19.711	-15.660
-23.100	-7.290	-19.264	-15.443
-23.000	-7.122	-18.823	-15.226
-22.900	-6.959	-18.429	-15.026
-22.800	-6.796	-18.035	-14.832
-22.700	-6.639	-17.661	-14.638
-22.600	-6.483	-17.314	-14.444
-22.500	-6.329	-16.967	-14.257
-22.400	-6.180	-16.639	-14.076
-22.300	-6.031	-16.323	-13.895
-22.200	-5.887	-16.006	-13.714
-22.100	-5.744	-15.715	-13.536
-22.000	-5.603	-15.433	-13.365
-21.900	-5.466	-15.151	-13.194
-21.800	-5.329	-14.889	-13.023
-21.700	-5.197	-14.637	-12.853
-21.600	-5.065	-14.385	-12.695
-21.500	-4.935	-14.141	-12.537
-21.400	-4.809	-13.906	-12.378
-21.300	-4.682	-13.671	-12.220
-21.200	-4.560	-13.438	-12.066
-21.100	-4.438	-13.216	-11.913
-21.000	-4.317	-12.994	-11.760
-20.900	-4.200	-12.772	-11.608
-20.800	-4.082	-12.565	-11.460
-20.700	-3.969	-12.359	-11.319
-20.600	-3.855	-12.154	-11.178
-20.500	-3.743	-11.952	-11.038
-20.400	-3.634	-11.754	-10.897
-20.300	-3.524	-11.556	-10.762
-20.200	-3.418	-11.361	-10.627
-20.100	-3.312	-11.178	-10.492
-20.000	-3.207	-10.995	-10.356
-19.900	-3.105	-10.812	-10.224
-19.800	-3.002	-10.637	-10.092
-19.700	-2.902	-10.463	-9.960
-19.600	-2.803	-10.289	-9.828
-19.500	-2.705	-10.121	-9.700
-19.400	-2.608	-9.957	-9.573
-19.300	-2.512	-9.793	-9.447
-19.200	-2.418	-9.634	-9.321
-19.100	-2.325	-9.486	-9.199
-19.000	-2.232	-9.339	-9.084
-18.900	-2.141	-9.191	-8.969
-18.800	-2.051	-9.059	-8.855
-18.700	-1.962	-8.930	-8.739
-18.600	-1.874	-8.801	-8.623
-18.500	-1.786	-8.672	-8.507
-18.400	-1.700	-8.545	-8.391
-18.300	-1.615	-8.418	-8.275
-18.200	-1.531	-8.291	-8.165
-18.100	-1.447	-8.169	-8.054
-18.000	-1.365	-8.050	-7.944
-17.900	-1.283	-7.932	-7.833
-17.800	-1.202	-7.814	-7.725
-17.700	-1.122	-7.700	-7.617
-17.600	-1.043	-7.587	-7.510
-17.500	-0.965	-7.473	-7.402
-17.400	-0.888	-7.360	-7.298
-17.300	-0.810	-7.253	-7.194
-17.200	-0.735	-7.145	-7.090
-17.100	-0.660	-7.037	-6.986
-17.000	-0.585	-6.930	-6.885
-16.900	-0.512	-6.827	-6.784
-16.800	-0.438	-6.723	-6.683
-16.700	-0.367	-6.619	-6.582
-16.600	-0.295	-6.517	-6.483
-16.500	-0.238	-6.415	-6.383
-16.400	-0.206	-6.314	-6.284
-16.300	-0.174	-6.212	-6.185
-16.200	nan	-6.114	-6.090
-16.100	nan	-6.018	-5.995
-16.000	nan	-5.922	-5.901
-15.900	nan	-5.825	-5.806
-15.800	nan	-5.732	-5.714
-15.700	nan	-5.638	-5.622
-15.600	nan	-5.545	-5.529
-15.500	nan	-5.452	-5.438
-15.400	nan	-5.361	-5.347
-15.300	nan	-5.270	-5.257
-15.200	nan	-5.178	-5.166
-15.100	nan	-5.087	-5.076
-15.000	nan	-4.996	-4.985
-14.900	nan	-4.905	-4.895
-14.800	nan	-4.815	-4.806
-14.700	nan	-4.729	-4.721
-14.600	nan	-4.644	-4.635
-14.500	nan	-4.558	-4.550
-14.400	nan	-4.469	-4.460
-14.300	nan	-4.375	-4.367
-14.200	nan	-4.281	-4.273
-14.100	nan	-4.187	-4.180
-14.000	nan	-4.092	-4.085
-13.900	nan	-3.997	-3.990
-13.800	nan	-3.901	-3.896
-13.700	nan	-3.829	-3.824
-13.600	nan	-3.757	-3.752
-13.500	nan	-3.685	-3.681
-13.400	nan	-3.619	-3.616
-13.300	nan	-3.560	-3.558
-13.200	nan	-3.502	-3.499
-13.100	nan	-3.445	-3.442
-13.000	nan	-3.391	-3.389
-12.900	nan	-3.338	-3.336
-12.800	nan	-3.285	-3.283
-12.700	nan	-3.232	-3.230
-12.600	nan	-3.163	-3.158
-12.500	nan	-3.063	-3.058
-12.400	nan	-2.963	-2.958
-12.300	nan	-2.864	-2.860
-12.200	nan	-2.782	-2.778
-12.100	nan	-2.700	-2.696
