# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.723	nan	-6.090
-24.900	-1.676	nan	-5.884
-24.800	-1.630	nan	-5.696
-24.700	-1.584	nan	-5.525
-24.600	-1.538	nan	-5.379
-24.500	-1.493	nan	-5.238
-24.400	-1.448	nan	-5.104
-24.300	-1.403	nan	-4.974
-24.200	-1.359	nan	-4.850
-24.100	-1.314	nan	-4.733
-24.000	-1.270	nan	-4.624
-23.900	-1.226	nan	-4.520
-23.800	-1.182	nan	-4.418
-23.700	-1.139	-7.272	-4.322
-23.600	-1.096	-7.052	-4.228
-23.500	-1.053	-6.752	-4.139
-23.400	-1.010	-6.487	-4.056
-23.300	-0.967	-6.227	-3.978
-23.200	-0.924	-5.970	-3.907
-23.100	-0.882	-5.718	-3.837
-23.000	-0.840	-5.503	-3.769
-22.900	-0.798	-5.314	-3.701
-22.800	-0.756	-5.140	-3.637
-22.700	-0.714	-4.976	-3.573
-22.600	-0.672	-4.820	-3.514
-22.500	-0.631	-4.671	-3.459
-22.400	-0.589	-4.537	-3.405
-22.300	-0.548	-4.409	-3.354
-22.200	-0.507	-4.285	-3.304
-22.100	-0.466	-4.170	-3.256
-22.000	-0.425	-4.059	-3.217
-21.900	-0.384	-3.956	-3.179
-21.800	-0.344	-3.864	-3.141
-21.700	-0.303	-3.776	-3.105
-21.600	-0.263	-3.692	-3.068
-21.500	-0.222	-3.609	-3.032
-21.400	-0.182	-3.530	-2.996
-21.300	-0.142	-3.452	-2.960
-21.200	-0.102	-3.385	-2.924
-21.100	-0.062	-3.318	-2.893
-21.000	-0.022	-3.255	-2.863
-20.900	0.018	-3.194	-2.834
-20.800	0.057	-3.142	-2.805
-20.700	0.097	-3.094	-2.777
-20.600	0.137	-3.048	-2.750
-20.500	0.176	-3.003	-2.723
-20.400	0.216	-2.959	-2.695
-20.300	0.255	-2.914	-2.667
-20.200	0.294	-2.870	-2.639
-20.100	0.334	-2.826	-2.611
-20.000	0.373	-2.789	-2.583
-19.900	0.412	-2.753	-2.554
-19.800	0.451	-2.717	-2.525
-19.700	0.490	-2.684	-2.495
-19.600	0.529	-2.651	-2.466
-19.500	0.568	-2.618	-2.440
-19.400	0.607	-2.585	-2.413
-19.300	0.646	-2.553	-2.387
-19.200	0.684	-2.520	-2.361
-19.100	0.723	-2.487	-2.333
-19.000	0.762	-2.454	-2.306
-18.900	0.800	-2.421	-2.278
-18.800	0.839	-2.388	-2.250
-18.700	0.878	-2.358	-2.222
-18.600	0.916	-2.328	-2.194
-18.500	0.955	-2.299	-2.166
-18.400	0.993	-2.269	-2.138
-18.300	1.031	-2.238	-2.110
-18.200	1.070	-2.207	-2.084
-18.100	1.108	-2.176	-2.058
-18.000	1.147	-2.146	-2.032
-17.900	1.185	-2.115	-2.006
-17.800	1.223	-2.084	-1.980
-17.700	1.261	-2.053	-1.954
-17.600	1.300	-2.024	-1.929
-17.500	1.338	-1.996	-1.903
-17.400	1.376	-1.968	-1.877
-17.300	1.414	-1.939	-1.849
-17.200	1.452	-1.912	-1.820
-17.100	1.490	-1.884	-1.792
-17.000	1.528	-1.856	-1.764
-16.900	1.566	-1.827	-1.736
-16.800	1.604	-1.797	-1.707
-16.700	1.642	-1.767	-1.678
-16.600	1.680	-1.737	-1.649
-16.500	1.705	-1.706	-1.622
-16.400	1.723	-1.676	-1.597
-16.300	nan	-1.645	-1.571
-16.200	nan	-1.614	-1.545
-16.100	nan	-1.585	-1.519
-16.000	nan	-1.558	-1.493
-15.900	nan	-1.530	-1.467
-15.800	nan	-1.503	-1.442
-15.700	nan	-1.476	-1.415
-15.600	nan	-1.448	-1.388
-15.500	nan	-1.421	-1.360
-15.400	nan	-1.394	-1.332
-15.300	nan	-1.365	-1.304
-15.200	nan	-1.336	-1.276
-15.100	nan	-1.307	-1.248
-15.000	nan	-1.277	-1.219
-14.900	nan	-1.248	-1.191
-14.800	nan	-1.218	-1.164
-14.700	nan	-1.189	-1.136
-14.600	nan	-1.160	-1.109
-14.500	nan	-1.131	-1.081
-14.400	nan	-1.102	-1.054
-14.300	nan	-1.073	-1.028
-14.200	nan	-1.045	-1.001
-14.100	nan	-1.017	-0.974
-14.000	nan	-0.990	-0.946
-13.900	nan	-0.962	-0.918
-13.800	nan	-0.934	-0.889
-13.700	nan	-0.904	-0.861
-13.600	nan	-0.875	-0.831
-13.500	nan	-0.845	-0.801
-13.400	nan	-0.815	-0.771
-13.300	nan	-0.784	-0.741
-13.200	nan	-0.753	-0.713
-13.100	nan	-0.722	-0.685
-13.000	nan	-0.693	-0.657
-12.900	nan	-0.664	-0.629
-12.800	nan	-0.635	-0.602
-12.700	nan	-0.607	-0.574
-12.600	nan	-0.578	-0.547
-12.500	nan	-0.550	-0.518
-12.400	nan	-0.522	-0.488
-12.300	nan	-0.492	-0.458
-12.200	nan	-0.461	-0.428
-12.100	nan	-0.431	-0.399
