# logMh	Muv	Muv_dust
8.000	-9.174	-9.171
8.100	-9.501	-9.497
8.200	-9.837	-9.833
8.300	-10.177	-10.174
8.400	-10.445	-10.441
8.500	-10.784	-10.780
8.600	-11.180	-11.176
8.700	-11.607	-11.603
8.800	-11.956	-11.951
8.900	-12.282	-12.277
9.000	-12.604	-12.598
9.100	-12.961	-12.955
9.200	-13.327	-13.320
9.300	-13.695	-13.687
9.400	-14.066	-14.056
9.500	-14.440	-14.428
9.600	-14.802	-14.787
9.700	-15.196	-15.177
9.800	-15.592	-15.568
9.900	-15.977	-15.946
10.000	-16.388	-16.347
10.100	-16.801	-16.747
10.200	-17.228	-17.156
10.300	-17.653	-17.557
10.400	-18.075	-17.947
10.500	-18.513	-18.342
10.600	-18.958	-18.731
10.700	-19.396	-19.098
10.800	-19.837	-19.451
10.900	-20.278	-19.790
11.000	-20.719	-20.130
11.100	-21.145	-20.458
11.200	-21.552	-20.771
11.300	-21.946	-21.075
11.400	-22.325	-21.366
11.500	-22.676	-21.637
11.600	-23.006	-21.891
11.700	-23.325	-22.137
11.800	-23.608	-22.355
11.900	-23.880	-22.564
12.000	-24.137	-22.762
12.100	-24.384	-22.952
12.200	-24.615	-23.130
12.300	-24.813	-23.283
12.400	-25.006	-23.431
12.500	-25.205	-23.584
12.600	-25.394	-23.730
12.700	-25.579	-23.872
12.800	-25.763	-24.014
12.900	-25.939	-24.150
13.000	-26.118	-24.288
13.100	-26.292	-24.421
13.200	-26.457	-24.549
13.300	-26.622	-24.676
13.400	-26.782	-24.799
13.500	-26.935	-24.917
13.600	-27.084	-25.031
13.700	-27.228	-25.142
13.800	-27.374	-25.255
13.900	-27.518	-25.366
14.000	-28.470	-26.099
